Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,24 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,485,498,328,143,110,34,25,19,1644
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Major cities,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Major cities,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,64.4,68.4,63.5,60.6,59.4,..,74.5,..,64.1
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Inner regional,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Inner regional,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,60.8,63.4,58.4,60,59.5,60.7,100,..,60.4
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Outer regional,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Outer regional,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,57.2,58.8,57.4,55.3,52.4,66.7,..,60.6,58.2
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Remote,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Remote,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,55.6,60,44.5,52.6,52.3,64.8,..,36.3,45.2
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Very remote,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Very remote,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,47.3,..,38.7,30.1,32.9,57.1,..,24.4,30.2
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Major cities,Young people fully engaged in employment; education or training,,Non-Indigenous people,Major cities,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,81.2,82.6,78.9,80.4,79.1,..,85.7,..,81
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Inner regional,Young people fully engaged in employment; education or training,,Non-Indigenous people,Inner regional,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,76.2,77.6,74,75.7,75.9,74.8,77.6,..,76
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Outer regional,Young people fully engaged in employment; education or training,,Non-Indigenous people,Outer regional,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,76.9,75.6,77.6,75.6,72,72.4,..,80.2,76.2
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Remote,Young people fully engaged in employment; education or training,,Non-Indigenous people,Remote,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,81.8,72.9,80.7,80.8,75.2,66.7,..,80.8,79.5
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Very remote,Young people fully engaged in employment; education or training,,Non-Indigenous people,Very remote,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,77.1,..,83.5,81,77.5,81.7,..,86.1,81.7
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Major cities,People counted in the Census,,Aboriginal and Torres Strait Islander people,Major cities,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,24265,6287,16786,7160,4291,..,1735,..,60523
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Inner regional,People counted in the Census,,Aboriginal and Torres Strait Islander people,Inner regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,17190,3683,9214,1201,587,2588,5,..,34488
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Outer regional,People counted in the Census,,Aboriginal and Torres Strait Islander people,Outer regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,5230,1249,9830,1703,1480,2336,..,2244,24070
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Remote,People counted in the Census,,Aboriginal and Torres Strait Islander people,Remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,613,5,1828,1520,256,88,..,2282,6589
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Very remote,People counted in the Census,,Aboriginal and Torres Strait Islander people,Very remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,300,..,3064,2775,607,14,..,5752,12516
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Major cities,People counted in the Census,,Non-Indigenous people,Major cities,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,652355,570744,374303,229348,151335,..,54801,..,2032887
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Inner regional,People counted in the Census,,Non-Indigenous people,Inner regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,134076,113738,90504,20160,15605,34911,67,..,409071
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Outer regional,People counted in the Census,,Non-Indigenous people,Outer regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,27688,20937,60376,15130,16749,15684,..,12313,168874
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Remote,People counted in the Census,,Non-Indigenous people,Remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,1478,181,4831,5491,3276,426,..,2440,18121
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Very remote,People counted in the Census,,Non-Indigenous people,Very remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,253,..,2568,2548,667,120,..,804,7241
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,Major cities,People counted in the Census,,Indigenous status not stated,Major cities,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,1768,1444,1049,640,521,..,94,..,5514
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,Inner regional,People counted in the Census,,Indigenous status not stated,Inner regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,1091,773,553,128,113,174,0,..,2829
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,Outer regional,People counted in the Census,,Indigenous status not stated,Outer regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,284,205,435,108,168,176,..,55,1428
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,Remote,People counted in the Census,,Indigenous status not stated,Remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,26,0,50,35,29,6,..,41,188
CtG7A.4,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,Very remote,People counted in the Census,,Indigenous status not stated,Very remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,3,..,47,38,4,0,..,18,118
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Major cities,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Major cities,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,66.7,68.6,63,59,62.5,..,73.8,..,64.8
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Inner regional,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Inner regional,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,58.5,62.3,55.5,55.7,60.2,59.6,..,..,58.1
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Outer regional,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Outer regional,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,55.7,59.8,53.5,50.4,54.7,66.4,..,65.1,56.3
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Remote,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Remote,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,51.4,..,42.5,54.6,62.2,65.7,..,43.6,47.8
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Very remote,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Very remote,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,37.7,..,38,34.9,34.8,50,..,29.7,33.5
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Major cities,Young people fully engaged in employment; education or training,,Non-Indigenous people,Major cities,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,82.9,82.8,77.7,79.2,78.5,..,86.1,..,81.3
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Inner regional,Young people fully engaged in employment; education or training,,Non-Indigenous people,Inner regional,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,75.4,76.3,70.6,73.3,74.2,75.2,93,..,74.4
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Outer regional,Young people fully engaged in employment; education or training,,Non-Indigenous people,Outer regional,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,74.4,75.3,74.9,73.6,71,71.4,..,81.3,74.6
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Remote,Young people fully engaged in employment; education or training,,Non-Indigenous people,Remote,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,76.1,72.3,77.5,75.5,73,62.4,..,80.5,76
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Very remote,Young people fully engaged in employment; education or training,,Non-Indigenous people,Very remote,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,82.3,..,78.2,80.2,76.5,69,..,85.9,79.3
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Major cities,People counted in the Census,,Aboriginal and Torres Strait Islander people,Major cities,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,18862,4630,12379,5610,3424,..,1280,..,46187
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Inner regional,People counted in the Census,,Aboriginal and Torres Strait Islander people,Inner regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,13029,2907,7343,872,668,2385,0,..,27217
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Outer regional,People counted in the Census,,Aboriginal and Torres Strait Islander people,Outer regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,5444,986,8308,1569,1117,1622,..,1911,20944
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Remote,People counted in the Census,,Aboriginal and Torres Strait Islander people,Remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,835,0,1764,1457,196,70,..,1799,6116
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,Very remote,People counted in the Census,,Aboriginal and Torres Strait Islander people,Very remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,289,..,3215,2829,580,12,..,5505,12438
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Major cities,People counted in the Census,,Non-Indigenous people,Major cities,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,653903,565507,359222,225052,147010,..,50747,..,2001444
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Inner regional,People counted in the Census,,Non-Indigenous people,Inner regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,131491,113244,92008,20074,21192,37870,71,..,415973
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Outer regional,People counted in the Census,,Non-Indigenous people,Outer regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,33345,21643,63844,16185,15059,13061,..,12529,175671
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Remote,People counted in the Census,,Non-Indigenous people,Remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,1680,188,5058,5730,3475,436,..,2571,19138
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,Very remote,People counted in the Census,,Non-Indigenous people,Very remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,209,..,2682,2701,629,129,..,785,7384
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,Major cities,People counted in the Census,,Indigenous status not stated,Major cities,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,4274,3955,2343,1413,1070,..,239,..,13296
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,Inner regional,People counted in the Census,,Indigenous status not stated,Inner regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,1629,1374,1006,195,247,348,0,..,4794
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,Outer regional,People counted in the Census,,Indigenous status not stated,Outer regional,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,531,340,714,161,197,190,..,176,2305
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,Remote,People counted in the Census,,Indigenous status not stated,Remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,50,3,80,89,54,19,..,58,350
CtG7A.4,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,Very remote,People counted in the Census,,Indigenous status not stated,Very remote,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,6,..,40,43,17,7,..,27,142
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Most disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,50.2,53.5,46.8,38.5,45.7,56.4,76.9,24.8,44.9
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Second most disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,63,64.5,61.1,56,61.2,68.7,68.8,54.4,61.7
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Middle 20%,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,68.4,70.2,66.6,64.1,67.3,68.1,69.4,60.6,67.3
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Second least disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,73.9,73.5,71.2,70.6,70.7,72.3,73,72.1,72.4
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Least disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,80,79.8,78.7,75.3,75.3,76.6,80.2,76.5,79
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Most disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,71.5,73.8,66.9,69.9,68.7,65.1,77,76.6,70.5
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Second most disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,76.4,78.2,74.7,75.9,76.5,73.8,78.3,77,76.4
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Middle 20%,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,80.1,81.4,78.9,79.4,79.5,78.2,79.7,78.8,80
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Second least disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,83.2,84.2,81.7,82.3,83.1,79.5,83.5,81.7,83
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Least disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,87.5,87.1,86.3,86.5,85.9,82.7,87.4,84.8,87
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,Most disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,17423,3286,17555,5922,3716,2269,26,7364,57577
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,Second most disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,11931,2715,9022,3189,1458,1293,157,1081,30844
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,Middle 20%,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,8133,2234,6820,2487,1070,819,412,653,22639
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,Second least disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,5704,1744,4760,1637,641,448,515,516,15973
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,Least disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,4029,1148,2267,953,296,171,541,421,9817
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,Most disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,166084,108213,94980,33869,42835,14791,578,1806,463192
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,Second most disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,152706,131301,106116,53915,40477,12410,2952,2980,502956
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,Middle 20%,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,142189,147476,118734,59809,39608,10645,7785,2933,529326
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,Second least disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,143090,165266,112040,63602,37038,8873,13643,3687,547240
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,Least disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,205049,149320,95035,59596,26468,4048,24905,3760,568203
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,Most disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,948,592,668,206,331,148,0,36,2930
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,Second most disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,694,482,466,195,168,90,3,23,2124
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,Middle 20%,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,549,504,443,203,123,71,14,15,1917
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,Second least disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,465,489,343,191,122,35,24,23,1704
CtG7A.5,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,Least disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,494,346,206,151,91,10,35,11,1343
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Most disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,51.4,54.5,43.7,39,49.8,53.2,44.4,29.3,45.2
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Second most disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,63.3,64.6,58.1,52.1,61.8,67,64.8,62.4,60.7
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Middle 20%,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,68.7,68.8,66.9,63,66,72.3,69,67.9,67.5
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Second least disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,74.5,73.2,69.3,65.2,71.2,78.5,74.6,74.2,71.6
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Least disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,81.3,81.7,75.6,74.6,77.3,78.2,80.5,78.6,79
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Most disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,71.9,72.9,64.6,68,67.7,64.3,75.7,76.9,69.8
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Second most disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,78.1,78.9,72.2,73.4,75.7,73.9,77,79.5,76.3
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Middle 20%,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,81.5,81.1,76.9,77.2,78.9,78.5,81,78.8,79.6
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Second least disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,84.8,84.2,80,80.5,82,82.1,83.5,82.1,82.8
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Least disadvantaged,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,88.5,87.4,84.9,85.3,86.2,84.2,87.4,84.2,87
CtG7A.5,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,Most disadvantaged,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,16137,2758,14651,5141,3020,1965,36,6487,50205
