Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
CtG7A.1,2011,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,60.5,62.5,53.8,48.2,54.2,62.8,70.5,38.7,54.9
CtG7A.1,2011,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,Actual,Non-Indigenous people,,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,81.6,82.8,77.6,81.1,78.6,76.3,87.5,82.4,80.8
CtG7A.1,2011,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,18388,4195,14388,5525,2868,2195,766,3662,51993
CtG7A.1,2011,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,Actual,Non-Indigenous people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,639466,542349,392388,214022,147499,41139,43198,13887,2034109
CtG7A.1,2011,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,Young people fully engaged in employment; education or training,Actual,Indigenous status not stated,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,6640,5863,3407,1910,1363,400,317,146,20054
CtG7A.1,2011,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,30383,6717,26765,11454,5291,3498,1086,9473,94696
CtG7A.1,2011,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,Actual,Non-Indigenous people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,783751,655271,505826,264003,187723,53903,49367,16855,2516888
CtG7A.1,2011,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,Actual,Indigenous status not stated,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,8465,7267,4600,2432,1794,569,378,212,25714
CtG7A.1,2006,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,55.1,61.1,56.5,46.5,50.4,62.2,70.5,32.3,52.3
CtG7A.1,2006,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,Actual,Non-Indigenous people,,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,81.3,83.1,79.8,82.6,79.1,77.2,87,83,81.4
CtG7A.1,2006,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,12543,3083,11686,4365,2228,1969,510,2780,39188
CtG7A.1,2006,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,Actual,Non-Indigenous people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,614634,502221,368260,193898,141404,40869,40445,12844,1914719
CtG7A.1,2006,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,Young people fully engaged in employment; education or training,Actual,Indigenous status not stated,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,7603,6199,3469,1999,1366,489,335,146,21614
CtG7A.1,2006,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,22764,5046,20697,9395,4421,3165,723,8618,74863
CtG7A.1,2006,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,Actual,Non-Indigenous people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,756328,604543,461604,234695,178871,52930,46463,15480,2351103
CtG7A.1,2006,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,Actual,Indigenous status not stated,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,9650,7548,4480,2508,1759,654,402,185,27186
CtG7A.1,2001,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,52.6,59.7,49.4,41.2,49,61.8,67.6,27.3,47.5
CtG7A.1,2001,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,Actual,Non-Indigenous people,,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,79.9,82.2,75.6,77.5,76.1,72.4,84.3,78.7,79
CtG7A.1,2001,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,10350,2516,9266,3913,1929,1814,446,2511,32754
CtG7A.1,2001,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,Actual,Non-Indigenous people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,609740,482669,334015,180257,135299,38857,38992,12999,1832983
CtG7A.1,2001,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,Young people fully engaged in employment; education or training,Actual,Indigenous status not stated,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,4788,4182,2358,1322,875,252,225,150,14157
CtG7A.1,2001,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,19669,4215,18775,9507,3940,2936,660,9182,68926
CtG7A.1,2001,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,Actual,Non-Indigenous people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,763028,587376,441774,232597,177744,53675,46281,16519,2319205
CtG7A.1,2001,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,Actual,Indigenous status not stated,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,6444,5359,3307,1765,1248,396,281,191,18999
CtG7A.2,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Males,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Males,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,63.1,66.8,59.4,54.8,56,64.7,73.5,35.1,59.2
CtG7A.2,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Females,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Females,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,60.9,64.4,56.8,51.2,54.9,61.6,74.8,34.5,56.9
CtG7A.2,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Males,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Males,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,79.8,82.1,78.6,81,78.5,75.6,85.2,81.5,80.2
CtG7A.2,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Females,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Females,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,80.6,81,77.2,78.6,77.6,72.2,86.1,79.7,79.5
CtG7A.2,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Males,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,Males,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,23970,5597,20185,7198,3669,2605,864,5229,69329
CtG7A.2,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Females,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,Females,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,23756,5664,20679,7251,3595,2463,889,5112,69420
CtG7A.2,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Males,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,Males,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,418125,361802,270517,139029,96470,26193,27614,8122,1348006
CtG7A.2,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Females,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,Females,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,398464,344470,262956,134040,91427,25080,27377,7507,1291482
CtG7A.2,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Males,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,Males,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,1752,1312,1132,540,447,197,56,63,5496
CtG7A.2,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Females,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,Females,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,1429,1116,1007,418,391,162,42,50,4614
CtG7A.2,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Males,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Males,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,63.7,66.4,57.2,53.6,58.7,66.2,74.4,41.9,59.1
CtG7A.2,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Females,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,Females,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,59.6,64.6,53.5,49.4,56.8,58.2,73.1,38.1,55.3
CtG7A.2,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Males,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Males,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,82.2,82.5,77.4,79.5,78.2,76.5,86.1,82.9,80.7
CtG7A.2,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Females,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,Females,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,80.3,80.5,74.8,76.9,76.2,71.4,86,79.3,78.5
CtG7A.2,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Males,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,Males,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,19378,4286,16467,6242,2976,2119,659,4709,56845
CtG7A.2,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Females,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,Females,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,19192,4262,16639,6148,3047,1984,628,4549,56461
CtG7A.2,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Males,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,Males,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,417699,355975,264253,138306,95815,26409,25621,8484,1332705
CtG7A.2,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Females,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,Females,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,404257,345493,259657,131893,91850,25202,25278,7498,1291257
